"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"/home/stevens/Documents/work/dit-archive/backend/config/database.py", "Python", 20, 0, 5, 5, 30
"/home/stevens/Documents/work/dit-archive/backend/config/system_prompts.py", "Python", 18, 0, 1, 3, 22
"/home/stevens/Documents/work/dit-archive/backend/listeners/listeners.py", "Python", 107, 0, 18, 20, 145
"/home/stevens/Documents/work/dit-archive/backend/main.py", "Python", 67, 0, 15, 18, 100
"/home/stevens/Documents/work/dit-archive/backend/models/pydantic_models.py", "Python", 95, 0, 13, 22, 130
"/home/stevens/Documents/work/dit-archive/backend/models/sql_models.py", "Python", 186, 0, 29, 49, 264
"/home/stevens/Documents/work/dit-archive/backend/requirements.txt", "pip requirements", 0, 145, 0, 1, 146
"/home/stevens/Documents/work/dit-archive/backend/routers/admin.py", "Python", 283, 0, 50, 47, 380
"/home/stevens/Documents/work/dit-archive/backend/routers/admin_submissions.py", "Python", 113, 0, 18, 25, 156
"/home/stevens/Documents/work/dit-archive/backend/routers/analytics.py", "Python", 126, 0, 7, 17, 150
"/home/stevens/Documents/work/dit-archive/backend/routers/auth_and_users.py", "Python", 117, 0, 18, 29, 164
"/home/stevens/Documents/work/dit-archive/backend/routers/dataplace.py", "Python", 140, 0, 41, 32, 213
"/home/stevens/Documents/work/dit-archive/backend/routers/nora.py", "Python", 89, 0, 192, 16, 297
"/home/stevens/Documents/work/dit-archive/backend/routers/projects.py", "Python", 342, 0, 123, 58, 523
"/home/stevens/Documents/work/dit-archive/backend/routers/util_endpoints.py", "Python", 60, 0, 5, 13, 78
"/home/stevens/Documents/work/dit-archive/backend/seeds/seed_admin_users.py", "Python", 57, 0, 5, 8, 70
"/home/stevens/Documents/work/dit-archive/backend/seeds/seed_metadata.py", "Python", 40, 0, 5, 9, 54
"/home/stevens/Documents/work/dit-archive/backend/services/ai.py", "Python", 19, 0, 0, 3, 22
"/home/stevens/Documents/work/dit-archive/backend/services/mailer.py", "Python", 84, 0, 15, 11, 110
"/home/stevens/Documents/work/dit-archive/backend/services/scraper.py", "Python", 75, 0, 9, 20, 104
"/home/stevens/Documents/work/dit-archive/backend/services/services.py", "Python", 178, 0, 22, 35, 235
"/home/stevens/Documents/work/dit-archive/backend/services/test_send_mail.py", "Python", 11, 0, 2, 5, 18
"/home/stevens/Documents/work/dit-archive/backend/utils/auth_utils.py", "Python", 105, 0, 15, 24, 144
"/home/stevens/Documents/work/dit-archive/backend/utils/cloudinary_utils.py", "Python", 26, 0, 1, 4, 31
"/home/stevens/Documents/work/dit-archive/backend/utils/teste de charge.py", "Python", 34, 0, 5, 9, 48
"Total", "-", 2392, 145, 614, 483, 3634
